KUNDNR,KUNDENAVN,GATEADRESSE1,POSTNR,POSTSTED,LEVERINGSADRESSE2
213,1996  HOTEL ALEXANDRA,,6789.0,LOEN,
355,KIWI 827 ØRSTA,7080000022502,3412.0,LIERSTANDA,HÅKONSGATA 16
410,AURSNES HOTELL,,6230.0,SYKKYLVEN,ØRSNESET
500,STORFJORD KULTURHUS,BOKS 128,6201.0,STRANDA,POSTBOKS 128
643,JOKER HJELLEDALEN,7080000034826,901.0,OSLO,
645,JUVET LANDSKAPSHOTELL,KLAUS NILSENS GATE 10,6003.0,ÅLESUND,GUDBRANDSJUVET
772,BRATTVÅG BARNEHAGE,FJELLBU 2,6270.0,BRATTVÅG,FJELLBU 2
774,O.L. BREKKE KAFE CATERING,PERHUSVEGEN 9,6783.0,STRYN,PERHUSVEGEN 9
785,BRATTVÅG BOWLING AS,STORGATA 15,6270.0,BRATTVÅG,STORGATA 15
796,JOKER FIKSDAL,7080000546121,901.0,OSLO,
880,SPAR FISKÅBYGD,7080000028542,901.0,OSLO,
890,CENTRUMSKIOSKEN,SJØGATA 13,6065.0,ULSTEINVIK,SJØGATA 13
1047,CHRISTIAN GAARD BYGDETUN AS,,6183.0,TRANDAL,
1048,DIDRIKS KAFE & GAVER,EIDSGATA 38,6770.0,NORDFJORDEID,EIDSGATA 38
1126,JOKER LOEN,7080000017836,901.0,OSLO,
1134,HAKALLEGARDEN,HAKALLESTRANDA,6149.0,ÅRAM,HAKALLESTRANDA
1615,FJORDANE FOLKEHØGSKULE,POSTBOKS 130,6771.0,NORDFJORDEID,POSTBOKS 130
1640,VOLDA OMSORGSSENTER 410401,FAKTURAMOTTAK,6102.0,VOLDA,BARSTADMARKA 2
1715,JOKER VIKANE,7080000032136,901.0,OSLO,
1845,SPAR FOSNAVÅG,7080001181963,901.0,OSLO,MYKLEBUSTVN.42
1890,JOKER TOMREFJORD,7080000878932,901.0,OSLO,
1910,HOTEL GEIRANGER,,6216.0,GEIRANGER,GEIRANGERVEGEN 22
1911,GEIRANGER OMSORGSSENTER,STRANDA KOMMUNE,6200.0,STRANDA,MARÅKVEGEN 36
2060,GOKSØYR CAMPING,GOKSØYRVEGEN 51,6096.0,RUNDE,GOKSØYRVEGEN 51
2212,VOLDA VIDAREGÅANDE SKULE/KANTI,FAKTURAMOTTAK-ØK.SEKSJON,6404.0,MOLDE,VEVENDELVEGEN 35
2497,HJELLE HOTEL AS,HJELLE,6798.0,HJELLEDALEN,
2565,SUNNMØRSBADET FOSNAVÅG,LISJEBØVEIEN  10 B,6090.0,FOSNAVÅG,LISJEBØVEIEN 10 B
2567,HERØY VGS KANTINE,FAKTURAMOTTAK FYLKESHUSET,6404.0,MOLDE,
2571,HERØY VGS UNDERVISNINGSKJØKKEN,FAKTURAMOTTAK FYLKESHUSET,6404.0,MOLDE,LISJEBØVEGEN 4
2620,HJØRUNDFJORDHEIMEN,FAKTURASENTER RÅDHUSET,6150.0,ØRSTA,ØYRAGATA 20
2700,INNVIK FJORDHOTELL,,6793.0,INNVIK,
